@relation dados

@attribute loja {SantanaShopping, PinheirosShopping}
@attribute mes {Fevereiro, Marco}
@attribute hora {Manha, Tarde, Noite}
@attribute fluxo {SemFluxo, FluxoBaixo, FluxoModerado, FluxoAlto}
@attribute fluxoVitrine {VitrineNenhumMovimento, VitrineBaixo, VitrineMedio, VitrineAlto}
@attribute temperatura {Frio, Normal, Quente}
@attribute chuva {MuitaChuva,Chuva,Sol}
@attribute atendimento {Nenhum,1-5,6-10,11-14,15-19}

@data
SantanaShopping,Marco,Noite,FluxoModerado,VitrineAlto,Normal,Chuva,6-10
SantanaShopping,Marco,Noite,FluxoModerado,VitrineAlto,Normal,Chuva,11-14
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineAlto,Normal,Chuva,6-10
SantanaShopping,Marco,Noite,FluxoModerado,VitrineAlto,Quente,Chuva,1-5
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineAlto,Frio,Chuva,6-10
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineAlto,Normal,Chuva,1-5
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineAlto,Normal,Chuva,6-10
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineAlto,Normal,Chuva,6-10
SantanaShopping,Marco,Noite,FluxoModerado,VitrineAlto,Normal,Chuva,6-10
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineAlto,Normal,Chuva,11-14
SantanaShopping,Fevereiro,Tarde,FluxoModerado,VitrineAlto,Quente,Sol,11-14
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineAlto,Frio,Chuva,1-5
SantanaShopping,Fevereiro,Noite,FluxoModerado,VitrineAlto,Quente,Sol,6-10
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineAlto,Quente,Sol,11-14
SantanaShopping,Fevereiro,Noite,FluxoModerado,VitrineAlto,Quente,Sol,6-10
SantanaShopping,Fevereiro,Noite,FluxoModerado,VitrineAlto,Quente,Sol,11-14
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineAlto,Normal,Sol,6-10
SantanaShopping,Marco,Noite,FluxoModerado,VitrineAlto,Quente,Chuva,11-14
SantanaShopping,Marco,Noite,FluxoModerado,VitrineAlto,Quente,Sol,6-10
SantanaShopping,Marco,Tarde,FluxoModerado,VitrineAlto,Normal,Sol,6-10
SantanaShopping,Fevereiro,Tarde,FluxoAlto,VitrineAlto,Normal,Chuva,11-14
