@relation dados

@attribute Loja {SantanaShopping, PinheirosShopping}
@attribute DiaDaSemana {segunda-feira, terca-feira, quarta-feira, quinta-feira, sexta-feira, Sabado, domingo}
@attribute Mes {Fevereiro, Marco}
@attribute PeriodoDoDia {Manha, Tarde, Noite}
@attribute Fluxo {SemFluxo, FluxoBaixo, FluxoModerado, FluxoAlto}
@attribute FluxoDaVitrine {VitrineNenhumMovimento, VitrineBaixo, VitrineMedio, VitrineAlto}
@attribute Temperatura {Frio, Morno, Quente, MuitoQuente}
@attribute PrevisaoDoTempo {SemChuva, PoucaChuva, ChuvaLeve, ChuvaModerada, ChuvaForte, Tempestade}
@attribute Atendimentos {SemAtendimento, 1-3Atendimentos, 4-6Atendimentos, 7-9Atendimentos, 10-12Atendimentos, 13-15Atendimentos, 19Atendimentos}

@data
SantanaShopping,quarta-feira,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Morno,PoucaChuva,SemAtendimento
SantanaShopping,quarta-feira,Fevereiro,Manha,FluxoBaixo,VitrineBaixo,Morno,PoucaChuva,4-6Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Morno,PoucaChuva,4-6Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Tarde,FluxoBaixo,VitrineMedio,Morno,PoucaChuva,1-3Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Morno,PoucaChuva,1-3Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Tarde,FluxoModerado,VitrineAlto,Morno,PoucaChuva,1-3Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Tarde,FluxoModerado,VitrineAlto,Morno,PoucaChuva,1-3Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Tarde,FluxoModerado,VitrineBaixo,Morno,PoucaChuva,4-6Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Quente,PoucaChuva,1-3Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Noite,FluxoModerado,VitrineMedio,Quente,PoucaChuva,4-6Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Noite,FluxoBaixo,VitrineAlto,Quente,PoucaChuva,10-12Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Noite,FluxoAlto,VitrineMedio,Quente,PoucaChuva,7-9Atendimentos
SantanaShopping,quarta-feira,Fevereiro,Noite,FluxoModerado,VitrineMedio,Quente,PoucaChuva,SemAtendimento
SantanaShopping,quinta-feira,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Frio,ChuvaForte,SemAtendimento
SantanaShopping,quinta-feira,Fevereiro,Manha,FluxoBaixo,VitrineBaixo,Frio,ChuvaForte,1-3Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Morno,ChuvaForte,1-3Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Tarde,FluxoBaixo,VitrineMedio,Morno,ChuvaForte,1-3Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Tarde,FluxoAlto,VitrineMedio,Morno,ChuvaForte,1-3Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Tarde,FluxoAlto,VitrineAlto,Morno,ChuvaForte,7-9Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Tarde,FluxoModerado,VitrineAlto,Morno,ChuvaForte,1-3Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Tarde,FluxoAlto,VitrineAlto,Morno,ChuvaForte,4-6Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Tarde,FluxoModerado,VitrineAlto,Morno,ChuvaForte,1-3Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Noite,FluxoAlto,VitrineMedio,Morno,ChuvaForte,1-3Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Noite,FluxoAlto,VitrineAlto,Morno,ChuvaForte,1-3Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Noite,FluxoAlto,VitrineAlto,Morno,ChuvaForte,4-6Atendimentos
SantanaShopping,quinta-feira,Fevereiro,Noite,FluxoBaixo,VitrineMedio,Morno,ChuvaForte,SemAtendimento
SantanaShopping,sexta-feira,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Quente,PoucaChuva,SemAtendimento
SantanaShopping,sexta-feira,Fevereiro,Manha,FluxoBaixo,VitrineBaixo,Quente,PoucaChuva,1-3Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Manha,FluxoBaixo,VitrineBaixo,Morno,PoucaChuva,1-3Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Morno,PoucaChuva,4-6Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Morno,PoucaChuva,7-9Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Tarde,FluxoAlto,VitrineAlto,Morno,PoucaChuva,7-9Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Tarde,FluxoModerado,VitrineAlto,Morno,PoucaChuva,1-3Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Tarde,FluxoBaixo,VitrineAlto,Morno,PoucaChuva,1-3Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Tarde,FluxoModerado,VitrineMedio,MuitoQuente,PoucaChuva,4-6Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Noite,FluxoBaixo,VitrineMedio,MuitoQuente,PoucaChuva,1-3Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Noite,FluxoBaixo,VitrineMedio,MuitoQuente,PoucaChuva,4-6Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Noite,FluxoModerado,VitrineMedio,MuitoQuente,PoucaChuva,7-9Atendimentos
SantanaShopping,sexta-feira,Fevereiro,Noite,FluxoBaixo,VitrineMedio,MuitoQuente,PoucaChuva,SemAtendimento
SantanaShopping,Sabado,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Quente,ChuvaLeve,1-3Atendimentos
SantanaShopping,Sabado,Fevereiro,Manha,FluxoBaixo,VitrineBaixo,Quente,ChuvaLeve,4-6Atendimentos
SantanaShopping,Sabado,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Quente,ChuvaLeve,7-9Atendimentos
SantanaShopping,Sabado,Fevereiro,Tarde,FluxoBaixo,VitrineMedio,Quente,ChuvaLeve,4-6Atendimentos
SantanaShopping,Sabado,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Quente,ChuvaLeve,7-9Atendimentos
SantanaShopping,Sabado,Fevereiro,Tarde,FluxoModerado,VitrineBaixo,Quente,ChuvaLeve,10-12Atendimentos
SantanaShopping,Sabado,Fevereiro,Tarde,FluxoAlto,VitrineAlto,Quente,ChuvaLeve,13-15Atendimentos
SantanaShopping,Sabado,Fevereiro,Tarde,FluxoAlto,VitrineAlto,Quente,ChuvaLeve,10-12Atendimentos
SantanaShopping,Sabado,Fevereiro,Tarde,FluxoAlto,VitrineAlto,MuitoQuente,ChuvaLeve,10-12Atendimentos
SantanaShopping,Sabado,Fevereiro,Noite,FluxoAlto,VitrineAlto,MuitoQuente,ChuvaLeve,10-12Atendimentos
SantanaShopping,Sabado,Fevereiro,Noite,FluxoModerado,VitrineAlto,MuitoQuente,ChuvaLeve,7-9Atendimentos
SantanaShopping,Sabado,Fevereiro,Noite,FluxoAlto,VitrineAlto,MuitoQuente,ChuvaLeve,7-9Atendimentos
SantanaShopping,Sabado,Fevereiro,Noite,FluxoBaixo,VitrineBaixo,MuitoQuente,ChuvaLeve,1-3Atendimentos
SantanaShopping,domingo,Fevereiro,Manha,FluxoBaixo,VitrineBaixo,Morno,ChuvaModerada,SemAtendimento
SantanaShopping,domingo,Fevereiro,Manha,FluxoBaixo,VitrineBaixo,Morno,ChuvaModerada,SemAtendimento
SantanaShopping,domingo,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Quente,ChuvaModerada,1-3Atendimentos
SantanaShopping,domingo,Fevereiro,Tarde,FluxoModerado,VitrineMedio,Quente,ChuvaModerada,4-6Atendimentos
SantanaShopping,domingo,Fevereiro,Tarde,FluxoModerado,VitrineAlto,Quente,ChuvaModerada,13-15Atendimentos
SantanaShopping,domingo,Fevereiro,Tarde,FluxoAlto,VitrineAlto,Quente,ChuvaModerada,10-12Atendimentos
SantanaShopping,domingo,Fevereiro,Tarde,FluxoModerado,VitrineBaixo,Quente,ChuvaModerada,4-6Atendimentos
SantanaShopping,domingo,Fevereiro,Tarde,FluxoAlto,VitrineAlto,Quente,ChuvaModerada,7-9Atendimentos
SantanaShopping,domingo,Fevereiro,Tarde,FluxoAlto,VitrineAlto,MuitoQuente,ChuvaModerada,7-9Atendimentos
SantanaShopping,domingo,Fevereiro,Noite,FluxoModerado,VitrineAlto,MuitoQuente,ChuvaModerada,7-9Atendimentos
SantanaShopping,domingo,Fevereiro,Noite,FluxoBaixo,VitrineMedio,MuitoQuente,ChuvaModerada,SemAtendimento
SantanaShopping,domingo,Fevereiro,Noite,FluxoAlto,VitrineBaixo,MuitoQuente,ChuvaModerada,SemAtendimento
SantanaShopping,domingo,Fevereiro,Noite,SemFluxo,VitrineBaixo,MuitoQuente,ChuvaModerada,SemAtendimento
SantanaShopping,segunda-feira,Fevereiro,Manha,FluxoBaixo,VitrineMedio,Quente,SemChuva,1-3Atendimentos
SantanaShopping,segunda-feira,Fevereiro,Manha,FluxoBaixo,VitrineBaixo,Quente,SemChuva,4-6Atendimentos
SantanaShopping,segunda-feira,Fevereiro,Manha,FluxoBaixo,VitrineBaixo,Quente,SemChuva,1-3Atendimentos
