@relation dados

@attribute loja {ShoppingA, ShoppingB}
@attribute diaSemana {segunda, terca, quarta, quinta, sexta, sabado, domingo}
@attribute diaMes real
@attribute mes {Fevereiro, Marco}
@attribute hora real
@attribute fluxo real
@attribute fluxoVitrine real
@attribute temperatura real
@attribute umidade real
@attribute nebulosidade real
@attribute chuva real
@attribute atendimento {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}

@data
ShoppingA,quarta,1,Fevereiro,10,15,193,23.4,79,10,1.0,0
ShoppingA,quarta,1,Fevereiro,11,36,67,23.4,79,10,1.0,4
ShoppingA,quarta,1,Fevereiro,12,38,93,22.0,82,10,1.0,4
ShoppingA,quarta,1,Fevereiro,13,33,269,22.0,82,10,1.0,3
ShoppingA,quarta,1,Fevereiro,14,66,229,22.0,82,10,1.0,1
ShoppingA,quarta,1,Fevereiro,15,72,441,22.0,82,10,1.0,2
ShoppingA,quarta,1,Fevereiro,16,54,326,22.0,82,10,1.0,3
ShoppingA,quarta,1,Fevereiro,17,63,23,22.0,82,10,1.0,5
ShoppingA,quarta,1,Fevereiro,18,52,241,26.5,61,10,1.0,3
ShoppingA,quarta,1,Fevereiro,19,51,224,26.5,61,10,1.0,5
ShoppingA,quarta,1,Fevereiro,20,40,388,26.5,61,10,1.0,10
ShoppingA,quarta,1,Fevereiro,21,157,126,26.5,61,10,1.0,7
ShoppingA,quarta,1,Fevereiro,22,69,165,26.5,61,10,1.0,0
ShoppingA,quinta,2,Fevereiro,10,16,239,20.0,95,10,26.5,0
ShoppingA,quinta,2,Fevereiro,11,33,77,20.0,95,10,26.5,3
ShoppingA,quinta,2,Fevereiro,12,48,101,23.0,74,10,26.5,2
ShoppingA,quinta,2,Fevereiro,13,34,178,23.0,74,10,26.5,1
ShoppingA,quinta,2,Fevereiro,14,136,297,23.0,74,10,26.5,2
ShoppingA,quinta,2,Fevereiro,15,110,367,23.0,74,10,26.5,8
ShoppingA,quinta,2,Fevereiro,16,83,329,23.0,74,10,26.5,2
ShoppingA,quinta,2,Fevereiro,17,127,396,23.0,74,10,26.5,5
ShoppingA,quinta,2,Fevereiro,18,100,385,23.2,79,10,26.5,3
ShoppingA,quinta,2,Fevereiro,19,159,300,23.2,79,10,26.5,1
ShoppingA,quinta,2,Fevereiro,20,171,423,23.2,79,10,26.5,3
ShoppingA,quinta,2,Fevereiro,21,165,356,23.2,79,10,26.5,5
ShoppingA,quinta,2,Fevereiro,22,19,229,23.2,79,10,26.5,0
ShoppingA,sexta,3,Fevereiro,10,10,162,24.4,71,10,1.0,0
ShoppingA,sexta,3,Fevereiro,11,15,53,24.4,71,10,1.0,3
ShoppingA,sexta,3,Fevereiro,12,41,34,21.8,78,10,1.0,1
ShoppingA,sexta,3,Fevereiro,13,67,187,21.8,78,10,1.0,5
ShoppingA,sexta,3,Fevereiro,14,60,278,21.8,78,10,1.0,7
ShoppingA,sexta,3,Fevereiro,15,102,309,21.8,78,10,1.0,9
ShoppingA,sexta,3,Fevereiro,16,77,381,21.8,78,10,1.0,3
ShoppingA,sexta,3,Fevereiro,17,43,357,21.8,78,10,1.0,2
ShoppingA,sexta,3,Fevereiro,18,85,294,28.1,60,10,1.0,5
ShoppingA,sexta,3,Fevereiro,19,49,200,28.1,60,10,1.0,3
ShoppingA,sexta,3,Fevereiro,20,46,200,28.1,60,10,1.0,4
ShoppingA,sexta,3,Fevereiro,21,70,299,28.1,60,10,1.0,7
ShoppingA,sexta,3,Fevereiro,22,15,278,28.1,60,10,1.0,0
ShoppingA,sabado,4,Fevereiro,10,10,156,26.0,66,10,4.5,2
ShoppingA,sabado,4,Fevereiro,11,30,43,26.0,66,10,4.5,6
ShoppingA,sabado,4,Fevereiro,12,44,199,24.4,72,6,4.5,8
ShoppingA,sabado,4,Fevereiro,13,48,190,24.4,72,6,4.5,6
ShoppingA,sabado,4,Fevereiro,14,52,246,24.4,72,6,4.5,7
ShoppingA,sabado,4,Fevereiro,15,100,20,24.4,72,6,4.5,11
ShoppingA,sabado,4,Fevereiro,16,200,637,24.4,72,6,4.5,13
ShoppingA,sabado,4,Fevereiro,17,154,396,24.4,72,6,4.5,11
ShoppingA,sabado,4,Fevereiro,18,125,362,27.0,67,6,4.5,11
ShoppingA,sabado,4,Fevereiro,19,140,410,27.0,67,6,4.5,11
ShoppingA,sabado,4,Fevereiro,20,95,375,27.0,67,6,4.5,7
ShoppingA,sabado,4,Fevereiro,21,105,565,27.0,67,6,4.5,8
ShoppingA,sabado,4,Fevereiro,22,47,32,27.0,67,6,4.5,2
ShoppingA,domingo,5,Fevereiro,10,4,12,22.2,98,10,8.2,0
ShoppingA,domingo,5,Fevereiro,11,44,14,22.2,98,10,8.2,0
ShoppingA,domingo,5,Fevereiro,12,22,195,24.6,71,1,8.2,3
ShoppingA,domingo,5,Fevereiro,13,62,187,24.6,71,1,8.2,6
ShoppingA,domingo,5,Fevereiro,14,54,308,24.6,71,1,8.2,14
ShoppingA,domingo,5,Fevereiro,15,157,394,24.6,71,1,8.2,10
ShoppingA,domingo,5,Fevereiro,16,80,25,24.6,71,1,8.2,5
ShoppingA,domingo,5,Fevereiro,17,113,769,24.6,71,1,8.2,8
ShoppingA,domingo,5,Fevereiro,18,104,438,30.9,46,8,8.2,9
ShoppingA,domingo,5,Fevereiro,19,88,443,30.9,46,8,8.2,9
ShoppingA,domingo,5,Fevereiro,20,29,274,30.9,46,8,8.2,0
ShoppingA,domingo,5,Fevereiro,21,116,66,30.9,46,8,8.2,0
ShoppingA,domingo,5,Fevereiro,22,0,1,30.9,46,8,8.2,0
ShoppingA,segunda,6,Fevereiro,10,6,192,25.6,79,1,0.0,2
ShoppingA,segunda,6,Fevereiro,11,26,44,25.6,79,1,0.0,5
ShoppingA,segunda,6,Fevereiro,12,16,82,25.0,70,0,0.0,3
ShoppingA,segunda,6,Fevereiro,13,26,86,25.0,70,0,0.0,2
ShoppingA,segunda,6,Fevereiro,14,14,111,25.0,70,0,0.0,3
ShoppingA,segunda,6,Fevereiro,15,32,151,25.0,70,0,0.0,7
ShoppingA,segunda,6,Fevereiro,16,42,11,25.0,70,0,0.0,6
ShoppingA,segunda,6,Fevereiro,17,71,288,25.0,70,0,0.0,6
ShoppingA,segunda,6,Fevereiro,18,13,45,29.9,47,10,0.0,2
ShoppingA,segunda,6,Fevereiro,19,3,163,29.9,47,10,0.0,1
ShoppingA,segunda,6,Fevereiro,20,1,186,29.9,47,10,0.0,2
ShoppingA,segunda,6,Fevereiro,21,0,252,29.9,47,10,0.0,2
ShoppingA,segunda,6,Fevereiro,22,0,137,29.9,47,10,0.0,0
ShoppingA,terca,7,Fevereiro,10,6,162,21.0,90,10,38.2,1
ShoppingA,terca,7,Fevereiro,11,22,76,21.0,90,10,38.2,4
ShoppingA,terca,7,Fevereiro,12,23,102,24.3,72,8,38.2,0
ShoppingA,terca,7,Fevereiro,13,13,133,24.3,72,8,38.2,1
ShoppingA,terca,7,Fevereiro,14,38,6,24.3,72,8,38.2,5
ShoppingA,terca,7,Fevereiro,15,13,2,24.3,72,8,38.2,6
ShoppingA,terca,7,Fevereiro,16,26,118,24.3,72,8,38.2,4
ShoppingA,terca,7,Fevereiro,17,41,256,24.3,72,8,38.2,3
ShoppingA,terca,7,Fevereiro,18,47,163,27.1,65,9,38.2,4
ShoppingA,terca,7,Fevereiro,19,25,237,27.1,65,9,38.2,0
ShoppingA,terca,7,Fevereiro,20,63,19,27.1,65,9,38.2,6
ShoppingA,terca,7,Fevereiro,21,58,177,27.1,65,9,38.2,4
ShoppingA,terca,7,Fevereiro,22,9,153,27.1,65,9,38.2,0
ShoppingA,quarta,8,Fevereiro,10,6,187,23.2,81,10,0.0,3
ShoppingA,quarta,8,Fevereiro,11,24,58,23.2,81,10,0.0,3
ShoppingA,quarta,8,Fevereiro,12,15,90,23.8,76,8,0.0,0
ShoppingA,quarta,8,Fevereiro,13,16,142,23.8,76,8,0.0,2
ShoppingA,quarta,8,Fevereiro,14,49,77,23.8,76,8,0.0,5
ShoppingA,quarta,8,Fevereiro,15,15,223,23.8,76,8,0.0,3
ShoppingA,quarta,8,Fevereiro,16,50,93,23.8,76,8,0.0,3
ShoppingA,quarta,8,Fevereiro,17,49,151,23.8,76,8,0.0,6
ShoppingA,quarta,8,Fevereiro,18,34,307,27.9,67,9,0.0,3
ShoppingA,quarta,8,Fevereiro,19,48,151,27.9,67,9,0.0,4
ShoppingA,quarta,8,Fevereiro,20,40,162,27.9,67,9,0.0,2
ShoppingA,quarta,8,Fevereiro,21,20,154,27.9,67,9,0.0,6
ShoppingA,quarta,8,Fevereiro,22,0,80,27.9,67,9,0.0,0
ShoppingA,quinta,9,Fevereiro,10,7,268,22.6,76,10,0.0,0
ShoppingA,quinta,9,Fevereiro,11,21,28,22.6,76,10,0.0,1
ShoppingA,quinta,9,Fevereiro,12,18,7,23.7,58,3,0.0,4
ShoppingA,quinta,9,Fevereiro,13,33,77,23.7,58,3,0.0,2
ShoppingA,quinta,9,Fevereiro,14,37,194,23.7,58,3,0.0,3
ShoppingA,quinta,9,Fevereiro,15,70,40,23.7,58,3,0.0,1
ShoppingA,quinta,9,Fevereiro,16,51,10,23.7,58,3,0.0,5
ShoppingA,quinta,9,Fevereiro,17,44,74,23.7,58,3,0.0,2
ShoppingA,quinta,9,Fevereiro,18,42,262,26.7,54,9,0.0,4
ShoppingA,quinta,9,Fevereiro,19,38,154,26.7,54,9,0.0,5
ShoppingA,quinta,9,Fevereiro,20,64,195,26.7,54,9,0.0,8
ShoppingA,quinta,9,Fevereiro,21,50,249,26.7,54,9,0.0,2
ShoppingA,quinta,9,Fevereiro,22,32,106,26.7,54,9,0.0,4
ShoppingA,sexta,10,Fevereiro,10,11,331,21.6,76,8,0.0,2
ShoppingA,sexta,10,Fevereiro,11,14,77,21.6,76,8,0.0,3
ShoppingA,sexta,10,Fevereiro,12,16,42,22.4,73,10,0.0,3
ShoppingA,sexta,10,Fevereiro,13,60,89,22.4,73,10,0.0,6
ShoppingA,sexta,10,Fevereiro,14,59,115,22.4,73,10,0.0,7
ShoppingA,sexta,10,Fevereiro,15,68,147,22.4,73,10,0.0,6
ShoppingA,sexta,10,Fevereiro,16,46,88,22.4,73,10,0.0,3
ShoppingA,sexta,10,Fevereiro,17,100,186,22.4,73,10,0.0,5
ShoppingA,sexta,10,Fevereiro,18,36,87,28.1,54,9,0.0,5
ShoppingA,sexta,10,Fevereiro,19,65,99,28.1,54,9,0.0,4
ShoppingA,sexta,10,Fevereiro,20,41,171,28.1,54,9,0.0,4
ShoppingA,sexta,10,Fevereiro,21,61,322,28.1,54,9,0.0,5
ShoppingA,sexta,10,Fevereiro,22,33,4,28.1,54,9,0.0,0
ShoppingA,sabado,11,Fevereiro,10,17,115,23.2,78,10,0.0,1
ShoppingA,sabado,11,Fevereiro,11,22,117,23.2,78,10,0.0,1
ShoppingA,sabado,11,Fevereiro,12,45,223,26.0,57,4,0.0,6
ShoppingA,sabado,11,Fevereiro,13,44,270,26.0,57,4,0.0,6
ShoppingA,sabado,11,Fevereiro,14,84,454,26.0,57,4,0.0,15
ShoppingA,sabado,11,Fevereiro,15,97,606,26.0,57,4,0.0,7
ShoppingA,sabado,11,Fevereiro,16,103,348,26.0,57,4,0.0,9
ShoppingA,sabado,11,Fevereiro,17,96,715,26.0,57,4,0.0,11
ShoppingA,sabado,11,Fevereiro,18,77,443,30.5,44,9,0.0,7
ShoppingA,sabado,11,Fevereiro,19,93,664,30.5,44,9,0.0,12
ShoppingA,sabado,11,Fevereiro,20,91,562,30.5,44,9,0.0,12
ShoppingA,sabado,11,Fevereiro,21,71,639,30.5,44,9,0.0,3
ShoppingA,sabado,11,Fevereiro,22,20,256,30.5,44,9,0.0,2
ShoppingA,domingo,12,Fevereiro,10,4,10,25.0,75,3,0.0,0
ShoppingA,domingo,12,Fevereiro,11,43,13,25.0,75,3,0.0,0
ShoppingA,domingo,12,Fevereiro,12,20,184,27.0,60,3,0.0,1
ShoppingA,domingo,12,Fevereiro,13,35,115,27.0,60,3,0.0,6
ShoppingA,domingo,12,Fevereiro,14,41,245,27.0,60,3,0.0,3
ShoppingA,domingo,12,Fevereiro,15,124,334,27.0,60,3,0.0,9
ShoppingA,domingo,12,Fevereiro,16,54,320,27.0,60,3,0.0,6
ShoppingA,domingo,12,Fevereiro,17,173,478,27.0,60,3,0.0,11
ShoppingA,domingo,12,Fevereiro,18,103,31,30.0,47,8,0.0,4
ShoppingA,domingo,12,Fevereiro,19,73,737,30.0,47,8,0.0,8
ShoppingA,domingo,12,Fevereiro,20,43,242,30.0,47,8,0.0,1
ShoppingA,domingo,12,Fevereiro,21,113,71,30.0,47,8,0.0,0
ShoppingA,domingo,12,Fevereiro,22,0,18,30.0,47,8,0.0,0
ShoppingA,segunda,13,Fevereiro,10,9,351,25.8,66,6,0.0,1
ShoppingA,segunda,13,Fevereiro,11,23,68,25.8,66,6,0.0,5
ShoppingA,segunda,13,Fevereiro,12,25,79,25.5,62,10,0.0,2
ShoppingA,segunda,13,Fevereiro,13,41,76,25.5,62,10,0.0,4
ShoppingA,segunda,13,Fevereiro,14,34,97,25.5,62,10,0.0,3
ShoppingA,segunda,13,Fevereiro,15,15,127,25.5,62,10,0.0,1
